Make,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21
ALFA ROMEO,21,12,8,8,7,2,20,4,1,0,4,0,13,0,7,4,4,2,5,3,0,1,70,0,5,2,0,0,0,0,7,3,1,1,140,5,1,2,1,2
AUDI,1324,889,621,370,150,20,1030,273,128,103,11,19,1058,666,699,297,225,25,972,386,131,117,57,1,1074,602,269,5,67,74,861,210,310,126,94,5,695,676,358,564
BENTLEY,2,0,0,360,203,1,817,3,156,113,62,1,3,1,1,411,597,36,1,1,209,138,64,15,843,459,0,10,165,33,711,0,248,120,86,16,685,549,1,379
BMW,1018,484,763,62,39,26,194,263,24,24,4,2,766,401,664,62,42,8,532,213,74,17,39,0,242,97,334,3,11,5,256,131,73,39,74,35,358,51,580,4
CITROEN,367,89,252,282,194,14,744,45,114,53,15,1,146,78,229,255,162,17,206,60,78,51,35,0,0,0,41,0,48,18,424,65,87,107,68,2,20,16,74,13
CUPRA,979,795,294,76,57,29,3,123,1,10,11,4,890,273,440,36,13,1,693,127,3,5,96,4,684,335,0,6,5,0,64,93,24,15,65,3,652,247,9,133
DACIA,6,2,1,567,467,1,169,29,15,91,56,1,5,24,5,572,425,5,3,25,445,176,5,47,63,9,57,1,93,5,1940,23,675,126,62,29,48,20,259,14
FIAT,162,50,69,60,59,8,2308,560,388,30,9,7,123,28,78,78,48,65,84,424,42,15,28,0,2341,662,6,23,10,52,186,357,57,24,58,32,2290,1024,26,506
FORD,3733,1515,1501,752,503,116,245,85,52,91,70,1,3151,951,1623,623,407,9,1699,73,152,183,57,23,308,102,456,2,134,8,1879,58,278,150,38,80,135,166,680,28
HONDA,366,150,265,45,52,11,2686,366,156,10,2,2,427,131,184,49,31,164,316,406,5,12,23,2,3365,1093,59,47,8,79,76,437,9,11,33,5,2719,1412,31,583
HYUNDAI,3925,1494,1536,14,9,47,114,32,21,4,1,0,3794,1442,1424,23,4,3,2378,38,0,1,21,0,74,43,544,0,2,7,6,16,2,0,23,1,9,17,861,32
JAGUAR,127,87,105,657,382,12,21,8,3,96,10,0,122,60,53,361,411,43,84,11,172,85,26,1,1,2,20,13,97,32,1193,3,332,173,21,2,1,0,11,427
JEEP,14,2,16,88,72,55,1551,265,155,23,11,10,15,6,27,107,59,22,27,280,44,44,9,3,1690,897,0,7,43,21,168,472,44,33,21,11,1436,896,1,93
KIA,2028,1097,1028,22,11,14,132,44,43,7,2,3,1757,946,1034,55,27,3,1354,64,15,13,13,0,330,240,353,0,9,6,82,45,23,11,17,3,99,170,542,23
LAND ROVER,285,145,167,98,65,4,128,38,11,34,6,8,343,147,130,83,64,12,161,33,65,14,1,2,166,56,148,1,16,10,306,21,52,20,15,5,96,74,86,72
LEXUS,145,57,59,214,184,9,469,100,53,49,11,2,138,59,43,212,201,15,114,70,165,84,4,22,575,160,25,12,54,22,713,61,204,65,13,53,283,140,19,245
MAZDA,826,282,267,36,22,41,513,166,102,27,16,6,598,296,151,46,22,12,510,208,24,27,28,0,944,430,42,0,15,4,103,239,51,30,12,25,708,577,124,13
MERCEDES,1336,820,697,28,40,10,122,14,31,32,10,1,761,512,591,128,55,6,517,25,10,6,13,3,0,0,205,2,7,1,80,17,16,11,10,6,24,19,352,39
MG,140,99,35,370,239,5,169,52,29,83,17,1,119,49,69,838,233,59,123,57,136,122,5,5,110,40,0,1,76,35,1239,26,281,126,10,35,125,48,14,8
MINI,215,102,86,285,395,1,2139,429,221,74,49,9,260,129,97,248,386,183,157,214,146,103,7,0,118,55,41,16,53,24,535,185,105,27,9,12,110,28,60,153
MITSUBISHI,2870,1513,1755,442,390,57,1393,135,110,110,52,21,2630,1051,1251,489,356,81,1643,150,168,105,3,16,2170,0,71,7,76,56,1256,103,324,159,8,21,1463,1,14,154
MORGAN,1207,487,640,6,10,130,1197,346,190,5,2,1,1175,278,428,10,11,3,1100,277,4,4,4,0,480,783,285,23,0,2,32,302,8,3,8,11,641,492,412,521
NISSAN,1506,619,671,395,270,67,6,3,2,50,7,1,1532,606,660,431,328,53,1309,4,105,70,137,6,1339,408,181,0,97,56,880,10,179,88,6,22,1385,204,195,13
OPEL,23,7,7,278,177,2,1794,348,108,19,26,3,3,4,9,326,207,30,14,118,108,54,5,3,41,648,394,42,45,31,825,208,178,66,6,15,5,785,390,209
PEUGEOT,2312,752,1119,650,460,20,886,184,73,142,28,6,2201,1010,880,582,412,135,1315,215,209,185,0,0,1756,7,1,7,122,74,1716,192,325,217,5,15,1171,50,0,288
PIAGGIO,947,530,525,4,8,34,1914,460,255,1,2,31,1013,581,546,2,6,0,975,448,0,0,1,0,0,574,7,11,1,1,21,414,8,4,4,1,1,520,18,709
PORSCHE,2316,1456,1285,15,7,129,1,4,5,9,3,1,2396,1539,1388,7,73,0,1933,12,3,0,0,20,1171,0,102,1,15,1,4,7,1,1,2,50,934,1,469,13
RENAULT,21,9,7,55,64,5,15,17,9,45,19,,12,6,4,66,2,20,11,3,57,19,0,27,2467,612,182,3,56,12,232,5,99,38,2,5,2071,492,367,52
ROLLS ROYCE,52,17,28,21,8,5,32,113,122,1,1,,29,16,10,12,608,10,19,55,17,33,1,23,4,1426,491,14,132,7,55,75,175,44,1,85,17,1380,784,10
SEAT,362,127,147,448,735,30,201,9,5,102,53,,383,146,171,1312,803,205,221,3,226,178,5,1,27,5,3,60,249,66,2406,28,666,107,1,11,2,15,7,742
SKODA,12,19,14,1166,680,5,22,545,143,203,62,,13,4,5,1044,98,174,14,397,543,276,3,,317,10,7,10,35,244,2652,302,729,288,1,,338,2,0,1002
SSANGYONG,4380,1320,1414,179,97,157,2734,760,386,48,13,,2810,1369,1747,135,,7,3148,639,62,41,1,,56,71,57,16,,20,263,626,87,66,0,,10,68,130,120
SUBARU,3580,1799,2118,,,159,2831,98,80,,,,3214,2074,1851,,,,2803,49,,,,,4304,150,139,,,,,74,,,,,3776,170,150,
SUZUKI,417,186,228,,,25,358,,,,,,470,186,188,,,,240,,,,,,3198,1221,687,,,,,,,,,,2544,1768,773,
TESLA,,,,,,,,,,,,,,,,,,,,,,,,,387,1801,723,,,,,,,,,,292,1436,1257,
TOYOTA,,,,,,,,,,,,,,,,,,,,,,,,,,138,77,,,,,,,,,,,185,141,
VOLKSWAGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
